                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.77716,                0.65253,                 1.0564,                 0.9636,                0.97132,                0.97811,                0.82091,                0.66488,                0.47405,                0.97984,               0.070588,               0.003268,               0.003268
                      1,                0.77889,                0.65491,                 1.0528,                0.95905,                 0.9642,                0.98102,                0.81023,                 0.6946,                0.50079,                0.99271,               0.040556,              0.0065686,              0.0065686
                      2,                0.85574,                0.73232,                 1.0814,                0.93196,                0.94532,                0.96314,                 0.7612,                0.76484,                0.59745,                 1.0418,                0.01049,              0.0098363,              0.0098363
                      3,                0.90126,                0.77808,                 1.1254,                0.90524,                0.94611,                0.95229,                 0.7333,                0.83302,                0.68935,                 1.0828,              0.0098515,              0.0098515,              0.0098515
                      4,                0.97806,                0.86174,                 1.1387,                0.91956,                0.93452,                0.96038,                0.73468,                 0.8647,                0.64757,                 1.1007,              0.0098515,              0.0098515,              0.0098515
                      5,                0.96459,                0.86145,                 1.1462,                0.91106,                0.90286,                0.94237,                0.70113,                0.93181,                0.72837,                 1.1563,               0.009802,               0.009802,               0.009802
                      6,                0.97844,                0.88123,                 1.1537,                0.90263,                0.91473,                 0.9522,                0.71895,                0.91087,                0.68975,                 1.1465,              0.0097525,              0.0097525,              0.0097525
                      7,                0.99157,                0.90922,                 1.1727,                0.89309,                0.93901,                 0.9523,                0.71322,                  0.909,                0.71651,                 1.1382,               0.009703,               0.009703,               0.009703
                      8,                 0.9758,                 0.8689,                 1.1677,                0.92571,                0.92567,                0.96112,                0.72205,                0.90144,                 0.6779,                 1.1427,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.9683,                0.87145,                 1.1516,                0.91354,                0.92682,                0.95281,                0.70881,                0.91195,                 0.7004,                 1.1434,               0.009604,               0.009604,               0.009604
                     10,                0.96935,                0.87543,                 1.1607,                0.90964,                0.91091,                0.94915,                0.70584,                0.90696,                0.73151,                 1.1397,              0.0095545,              0.0095545,              0.0095545
                     11,                0.96415,                0.86177,                 1.1724,                0.89472,                0.91528,                 0.9469,                0.71742,                 0.8874,                0.70335,                 1.1217,               0.009505,               0.009505,               0.009505
                     12,                0.98143,                0.87473,                 1.1501,                0.91953,                 0.9043,                0.94947,                0.70597,                0.92899,                0.69311,                 1.1372,              0.0094555,              0.0094555,              0.0094555
                     13,                0.95465,                0.85864,                 1.1467,                0.89613,                0.90925,                0.95018,                0.71501,                0.92172,                0.70288,                 1.1427,               0.009406,               0.009406,               0.009406
                     14,                 0.9903,                0.85885,                  1.165,                0.91138,                0.91005,                0.95397,                0.73578,                0.86571,                 0.6742,                 1.0997,              0.0093565,              0.0093565,              0.0093565
                     15,                0.95001,                0.85484,                 1.1445,                0.90107,                0.91649,                0.95212,                0.72256,                0.89091,                0.68454,                 1.1291,               0.009307,               0.009307,               0.009307
                     16,                0.95353,                0.83933,                 1.1472,                 0.9213,                0.92484,                0.95878,                0.71605,                0.90212,                0.68529,                 1.1243,              0.0092575,              0.0092575,              0.0092575
                     17,                0.96759,                0.86443,                  1.154,                0.92046,                0.93141,                0.95785,                0.73605,                0.85149,                0.63861,                  1.091,               0.009208,               0.009208,               0.009208
