                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4448,                 4.6881,                 1.6192,                 0.0068,                0.49693,                0.03097,                 0.0179,                 1.3572,                 4.2145,                 1.6362,               0.070148,              0.0033169,              0.0033169
                      1,                 1.3797,                  4.407,                 1.5105,                 0.3884,                0.11815,                 0.0652,                0.03693,                 1.5051,                 3.8186,                 1.7247,               0.040016,              0.0065186,              0.0065186
                      2,                 1.4209,                 4.1529,                 1.5705,                0.36399,                0.16749,                0.11091,                0.06026,                 1.7506,                 3.9658,                 2.0219,              0.0097524,              0.0095882,              0.0095882
                      3,                 1.5263,                 3.9785,                 1.6212,                0.19332,                0.26407,                0.18813,                 0.1053,                 1.6145,                 4.0295,                  1.854,               0.009406,               0.009406,               0.009406
                      4,                 1.5393,                 3.7525,                 1.6468,                0.37322,                0.30142,                0.22868,                0.12928,                 1.6082,                 5.4244,                 1.9432,               0.009406,               0.009406,               0.009406
                      5,                  1.538,                 3.6103,                 1.6407,                0.33549,                 0.2858,                0.24921,                0.13132,                 1.6346,                 4.0079,                 1.8309,               0.009208,               0.009208,               0.009208
                      6,                 1.5318,                 3.4255,                 1.6058,                0.42348,                0.32046,                0.33573,                0.19745,                  1.503,                 3.2472,                 1.7649,                0.00901,                0.00901,                0.00901
                      7,                 1.5111,                 3.3628,                 1.6014,                0.44879,                0.38117,                0.37859,                0.21322,                 1.5769,                 2.8969,                 1.7619,               0.008812,               0.008812,               0.008812
                      8,                  1.487,                  3.087,                 1.5833,                0.51883,                0.41329,                0.45486,                0.27064,                 1.4646,                 2.6845,                 1.6948,               0.008614,               0.008614,               0.008614
                      9,                 1.4748,                 3.0467,                 1.5591,                0.53847,                0.43402,                0.48375,                0.28321,                 1.4598,                  2.639,                 1.6824,               0.008416,               0.008416,               0.008416
                     10,                 1.4697,                 2.9212,                   1.55,                0.53995,                   0.49,                0.50874,                0.30491,                 1.4457,                  3.037,                 1.6785,               0.008218,               0.008218,               0.008218
                     11,                 1.4698,                 2.9085,                   1.57,                 0.6436,                  0.487,                0.55643,                0.32901,                 1.4574,                 2.5133,                 1.6677,                0.00802,                0.00802,                0.00802
                     12,                  1.425,                 2.7282,                 1.5395,                0.64458,                0.58355,                0.62497,                 0.3745,                 1.3643,                 2.4586,                 1.6218,               0.007822,               0.007822,               0.007822
                     13,                 1.3951,                  2.621,                 1.5251,                0.64215,                0.58454,                0.63004,                0.38411,                 1.3317,                  2.271,                 1.5702,               0.007624,               0.007624,               0.007624
                     14,                 1.4112,                 2.5362,                 1.5216,                 0.6164,                0.58224,                0.62294,                 0.3875,                  1.346,                 2.1979,                 1.5847,               0.007426,               0.007426,               0.007426
                     15,                 1.3854,                 2.5118,                 1.5028,                0.65357,                 0.6269,                0.67037,                 0.4214,                  1.306,                 2.1837,                 1.5518,               0.007228,               0.007228,               0.007228
                     16,                 1.3584,                 2.4092,                  1.505,                0.68285,                0.64328,                0.69034,                0.43124,                 1.3034,                 1.9662,                 1.5474,                0.00703,                0.00703,                0.00703
                     17,                 1.3713,                   2.35,                 1.4889,                0.68516,                 0.6774,                0.69858,                0.44568,                  1.291,                  2.009,                 1.5325,               0.006832,               0.006832,               0.006832
                     18,                 1.3542,                 2.3282,                  1.494,                 0.7167,                0.70387,                0.73469,                0.46067,                 1.3001,                  1.899,                 1.5428,               0.006634,               0.006634,               0.006634
                     19,                 1.3537,                 2.2281,                 1.4746,                0.73972,                0.68735,                0.75245,                0.48643,                 1.2476,                 1.9091,                 1.4731,               0.006436,               0.006436,               0.006436
                     20,                 1.3251,                 2.1665,                 1.4616,                0.76642,                0.67979,                0.76033,                0.48478,                 1.2348,                 1.7002,                 1.4647,               0.006238,               0.006238,               0.006238
                     21,                 1.3201,                 2.1408,                 1.4422,                0.76193,                0.70162,                0.76407,                0.50176,                 1.2108,                 1.7671,                 1.4539,                0.00604,                0.00604,                0.00604
                     22,                 1.3119,                 2.1318,                 1.4415,                0.80597,                0.69029,                0.77748,                0.50347,                 1.2213,                 1.7275,                 1.4592,               0.005842,               0.005842,               0.005842
                     23,                 1.2852,                 2.0273,                 1.4127,                0.77635,                0.71494,                0.77861,                0.51283,                 1.1866,                 1.6858,                 1.4386,               0.005644,               0.005644,               0.005644
                     24,                 1.2911,                 1.9892,                 1.4318,                0.79723,                0.73377,                0.80164,                0.52303,                 1.2193,                 1.5759,                 1.4599,               0.005446,               0.005446,               0.005446
                     25,                 1.2979,                 1.9782,                 1.4231,                0.81426,                0.75496,                0.81113,                0.53645,                 1.1887,                 1.6069,                 1.4228,               0.005248,               0.005248,               0.005248
                     26,                  1.278,                 1.9554,                 1.4379,                0.78516,                0.77866,                0.82287,                 0.5524,                 1.1758,                 1.3976,                 1.4211,                0.00505,                0.00505,                0.00505
                     27,                 1.2585,                 1.8859,                 1.4103,                0.83437,                0.77305,                0.83757,                  0.564,                 1.1417,                 1.4633,                  1.394,               0.004852,               0.004852,               0.004852
                     28,                 1.2196,                  1.793,                 1.3684,                0.84686,                 0.7817,                0.84818,                0.56891,                 1.1362,                 1.4483,                 1.3821,               0.004654,               0.004654,               0.004654
                     29,                  1.224,                 1.7647,                 1.3715,                0.84666,                0.78847,                0.85649,                0.58506,                  1.105,                 1.5233,                 1.3703,               0.004456,               0.004456,               0.004456
                     30,                 1.2202,                  1.761,                 1.3863,                0.81367,                0.81213,                0.84981,                 0.5795,                 1.1032,                 1.3662,                 1.3624,               0.004258,               0.004258,               0.004258
                     31,                 1.1991,                 1.7122,                 1.3532,                0.84258,                0.79596,                0.85675,                0.57878,                 1.1108,                  1.306,                 1.3476,                0.00406,                0.00406,                0.00406
                     32,                 1.1632,                 1.6262,                 1.3552,                  0.837,                0.83094,                0.87382,                0.59048,                 1.1116,                  1.202,                 1.3502,               0.003862,               0.003862,               0.003862
                     33,                 1.1618,                 1.6197,                 1.3356,                0.85421,                0.82433,                0.87836,                0.60433,                 1.0883,                 1.2371,                 1.3536,               0.003664,               0.003664,               0.003664
                     34,                 1.1829,                 1.6147,                 1.3472,                0.84194,                0.81961,                0.87162,                0.59781,                 1.0997,                 1.1894,                 1.3368,               0.003466,               0.003466,               0.003466
                     35,                 1.1893,                 1.5901,                 1.3376,                0.83692,                0.84064,                0.88908,                   0.61,                 1.0815,                 1.1638,                 1.3397,               0.003268,               0.003268,               0.003268
                     36,                 1.1409,                 1.5311,                 1.3268,                  0.862,                0.85318,                0.89607,                0.61495,                 1.0732,                 1.1167,                 1.3209,                0.00307,                0.00307,                0.00307
                     37,                 1.1607,                 1.4914,                 1.3294,                 0.8717,                0.86736,                0.90692,                0.63316,                 1.0502,                 1.1138,                 1.3035,               0.002872,               0.002872,               0.002872
                     38,                 1.1483,                 1.4619,                 1.3258,                0.87551,                0.86877,                0.90821,                0.63476,                  1.026,                 1.0591,                 1.2909,               0.002674,               0.002674,               0.002674
                     39,                 1.1111,                 1.4263,                 1.2958,                0.87956,                0.86184,                0.90814,                0.63803,                 1.0166,                 1.0366,                 1.2856,               0.002476,               0.002476,               0.002476
                     40,                 1.0921,                 1.5626,                 1.3703,                0.86604,                0.86628,                 0.9061,                0.63094,                 1.0284,                 1.0886,                 1.2794,               0.002278,               0.002278,               0.002278
                     41,                 1.0692,                 1.4889,                 1.3209,                0.86302,                0.87362,                0.90938,                0.64405,                  1.001,                 1.0501,                 1.2601,                0.00208,                0.00208,                0.00208
                     42,                 1.0314,                 1.4494,                  1.327,                0.88394,                0.87976,                0.91727,                0.65316,                0.99277,                 1.0726,                 1.2539,               0.001882,               0.001882,               0.001882
