                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4283,                 4.6623,                 1.5659,                0.00728,                0.50303,                0.02664,                0.01405,                 1.3574,                 4.1766,                 1.6146,               0.070148,              0.0033169,              0.0033169
                      1,                 1.3665,                 4.4035,                 1.5077,                0.51248,                0.09167,                0.08054,                0.04706,                 1.5625,                 3.9272,                 1.7871,               0.040016,              0.0065186,              0.0065186
                      2,                 1.4385,                 4.1777,                 1.5478,                0.44527,                0.15738,                   0.14,                0.07403,                 1.5841,                 3.5816,                 1.7901,              0.0097524,              0.0095882,              0.0095882
                      3,                 1.5245,                 3.9998,                 1.6188,                0.24123,                0.23527,                 0.1376,                0.07652,                 1.6148,                 4.4394,                 1.8224,               0.009406,               0.009406,               0.009406
                      4,                 1.5506,                  3.733,                 1.5911,                0.31959,                0.30016,                0.25501,                0.14609,                 1.5851,                 3.3535,                 1.7832,               0.009406,               0.009406,               0.009406
                      5,                 1.5825,                 3.6837,                 1.6131,                0.35369,                0.28396,                0.27323,                0.15122,                 1.5245,                 4.4625,                 1.7214,               0.009208,               0.009208,               0.009208
                      6,                 1.5393,                 3.5175,                 1.6061,                0.35125,                0.39745,                 0.3591,                0.20948,                 1.4898,                 3.0613,                 1.6991,                0.00901,                0.00901,                0.00901
                      7,                 1.5157,                 3.3347,                 1.6108,                0.37775,                0.43059,                0.39821,                0.24081,                 1.4883,                 3.6884,                 1.6922,               0.008812,               0.008812,               0.008812
                      8,                 1.5163,                 3.1613,                 1.6111,                0.52386,                0.40198,                0.43927,                0.26219,                 1.4968,                  3.073,                 1.7187,               0.008614,               0.008614,               0.008614
                      9,                 1.5093,                 3.1183,                 1.5875,                0.59793,                0.43835,                0.49724,                0.28942,                 1.4744,                 2.8164,                 1.6986,               0.008416,               0.008416,               0.008416
                     10,                 1.4667,                 2.9901,                 1.5583,                0.55696,                0.49784,                0.53537,                0.32267,                 1.4307,                 2.6379,                 1.6503,               0.008218,               0.008218,               0.008218
                     11,                 1.4488,                 2.8632,                 1.5528,                0.65478,                0.49312,                0.55782,                 0.3419,                 1.4136,                 2.3519,                 1.6353,                0.00802,                0.00802,                0.00802
                     12,                 1.4415,                 2.7525,                 1.5327,                0.57955,                0.53545,                0.56992,                0.34456,                 1.3961,                 2.8364,                 1.6298,               0.007822,               0.007822,               0.007822
                     13,                 1.4174,                 2.6615,                 1.5296,                0.55629,                0.60163,                0.60268,                0.37663,                 1.3667,                 2.9088,                 1.5908,               0.007624,               0.007624,               0.007624
                     14,                 1.4054,                 2.5678,                 1.5021,                0.58181,                0.58826,                0.61143,                0.36884,                 1.3913,                 2.6861,                 1.5801,               0.007426,               0.007426,               0.007426
                     15,                  1.407,                 2.4897,                 1.4988,                0.57486,                0.57057,                0.59395,                0.36669,                 1.3457,                 2.5026,                 1.5637,               0.007228,               0.007228,               0.007228
                     16,                 1.3652,                 2.4315,                 1.4681,                0.73085,                0.65357,                0.71826,                0.45915,                 1.2539,                 2.3282,                 1.4953,                0.00703,                0.00703,                0.00703
                     17,                 1.3411,                 2.3559,                  1.463,                0.71133,                0.65023,                0.69611,                0.44835,                 1.2847,                  2.061,                 1.5081,               0.006832,               0.006832,               0.006832
                     18,                 1.3534,                 2.2751,                  1.458,                0.72888,                0.64705,                0.72281,                0.46242,                 1.2878,                 1.9211,                 1.5069,               0.006634,               0.006634,               0.006634
                     19,                  1.345,                 2.2647,                 1.4578,                0.72782,                0.67572,                0.72719,                0.46492,                 1.2702,                 1.9453,                 1.4966,               0.006436,               0.006436,               0.006436
                     20,                 1.3253,                  2.202,                 1.4464,                0.76453,                0.69549,                0.74768,                0.48308,                 1.2548,                 1.7695,                 1.4776,               0.006238,               0.006238,               0.006238
                     21,                 1.3559,                 2.1883,                 1.4505,                0.76143,                0.70336,                0.75055,                0.48816,                 1.2349,                 1.8699,                 1.4511,                0.00604,                0.00604,                0.00604
                     22,                 1.3098,                 2.0785,                 1.4259,                0.74059,                0.71364,                0.76251,                0.49539,                 1.2293,                 1.7852,                 1.4532,               0.005842,               0.005842,               0.005842
                     23,                 1.2969,                 2.0013,                 1.4081,                0.77595,                0.73378,                0.79445,                0.52119,                 1.2286,                 1.5224,                 1.4354,               0.005644,               0.005644,               0.005644
                     24,                 1.2762,                  2.005,                  1.401,                0.75787,                0.75112,                  0.798,                0.52996,                 1.1832,                  1.709,                  1.413,               0.005446,               0.005446,               0.005446
                     25,                 1.2653,                 1.9488,                 1.4033,                0.81084,                0.75676,                0.81985,                0.52024,                 1.2297,                 1.5312,                 1.4394,               0.005248,               0.005248,               0.005248
                     26,                 1.2752,                 1.9048,                 1.4078,                0.80522,                0.75557,                0.82231,                0.54242,                 1.1902,                 1.4046,                 1.4093,                0.00505,                0.00505,                0.00505
                     27,                 1.2492,                 1.8573,                 1.3941,                0.81902,                0.79624,                0.84319,                0.56457,                  1.154,                 1.3564,                 1.3905,               0.004852,               0.004852,               0.004852
                     28,                 1.2536,                   1.81,                 1.3836,                0.81232,                0.80497,                0.84405,                0.56702,                 1.1326,                 1.4032,                 1.3729,               0.004654,               0.004654,               0.004654
                     29,                 1.2208,                 1.7949,                 1.3571,                0.79704,                0.80661,                0.84829,                0.57426,                 1.1341,                 1.2986,                 1.3675,               0.004456,               0.004456,               0.004456
                     30,                  1.196,                 1.7761,                 1.3673,                0.81491,                0.80454,                0.86066,                 0.5879,                 1.1034,                 1.3317,                 1.3378,               0.004258,               0.004258,               0.004258
                     31,                 1.2224,                 1.7376,                 1.3686,                0.80289,                0.80793,                 0.8428,                0.57579,                 1.1225,                 1.3537,                 1.3643,                0.00406,                0.00406,                0.00406
                     32,                 1.2089,                 1.6562,                 1.3486,                0.81849,                0.81602,                0.85414,                0.58849,                 1.0947,                 1.2039,                 1.3264,               0.003862,               0.003862,               0.003862
                     33,                 1.1953,                 1.6561,                  1.341,                0.83267,                0.83611,                0.87442,                0.59866,                  1.102,                 1.2048,                 1.3387,               0.003664,               0.003664,               0.003664
                     34,                  1.182,                  1.607,                 1.3322,                0.84302,                 0.8277,                0.87958,                0.60964,                 1.0776,                 1.1568,                  1.309,               0.003466,               0.003466,               0.003466
                     35,                 1.1481,                 1.5953,                 1.3149,                0.85249,                0.85279,                0.88875,                0.61446,                  1.079,                 1.0781,                 1.3035,               0.003268,               0.003268,               0.003268
                     36,                 1.1591,                 1.5565,                  1.319,                0.86012,                0.87099,                0.90078,                0.63246,                  1.041,                  1.068,                 1.2893,                0.00307,                0.00307,                0.00307
                     37,                 1.1555,                 1.4818,                 1.3005,                0.86575,                0.87138,                0.90519,                0.63334,                 1.0451,                 1.0613,                 1.2896,               0.002872,               0.002872,               0.002872
                     38,                 1.1202,                 1.4317,                 1.2963,                0.85783,                0.88113,                0.90774,                0.64108,                 1.0235,                 1.0715,                 1.2711,               0.002674,               0.002674,               0.002674
                     39,                 1.1494,                 1.4866,                 1.3082,                0.89048,                 0.8588,                0.91646,                0.65369,                  1.016,                 1.0053,                 1.2588,               0.002476,               0.002476,               0.002476
                     40,                 1.0848,                 1.5763,                 1.3422,                0.88096,                0.85103,                0.91019,                0.64136,                 1.0236,                  1.041,                 1.2593,               0.002278,               0.002278,               0.002278
                     41,                 1.0653,                 1.5134,                  1.324,                0.88971,                 0.8459,                0.90593,                0.64032,                 1.0254,                 1.0374,                 1.2612,                0.00208,                0.00208,                0.00208
                     42,                 1.0619,                 1.4564,                 1.3095,                0.87443,                 0.8725,                0.90691,                0.64891,                0.98676,                 1.0551,                 1.2336,               0.001882,               0.001882,               0.001882
                     43,                 1.0469,                 1.4339,                 1.3108,                0.86666,                0.88269,                0.91358,                0.65426,                0.98011,                 1.0567,                 1.2291,               0.001684,               0.001684,               0.001684
