                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4827,                 4.7592,                  1.667,                0.00629,                0.53398,                0.02172,                0.01151,                 1.3434,                 4.1744,                 1.6271,               0.070074,              0.0033251,              0.0033251
                      1,                 1.3662,                  4.539,                  1.547,                0.37766,                0.07804,                0.05423,                0.03403,                 1.4687,                 3.8546,                 1.7209,               0.039942,              0.0065266,              0.0065266
                      2,                 1.4684,                 4.3567,                 1.6309,                0.43917,                 0.1144,                0.09028,                0.05169,                 1.6005,                 4.1699,                 1.8715,              0.0096784,              0.0095961,              0.0095961
                      3,                 1.5532,                 4.2622,                 1.6842,                0.53513,                0.14712,                0.09254,                0.05019,                 1.6697,                 4.2925,                 1.9222,               0.009406,               0.009406,               0.009406
                      4,                 1.6195,                 4.0865,                 1.7046,                 0.1395,                0.25842,                0.15243,                0.08513,                 1.6186,                 3.7424,                 1.8567,               0.009406,               0.009406,               0.009406
                      5,                 1.6293,                  4.022,                 1.7234,                0.30931,                0.23997,                0.18836,                0.10561,                 1.6445,                 4.7255,                 1.8593,               0.009208,               0.009208,               0.009208
                      6,                 1.5887,                 3.8154,                 1.6703,                0.31095,                0.26825,                0.21839,                0.12333,                 1.6009,                 5.5168,                 1.8234,                0.00901,                0.00901,                0.00901
